reach_id,segment_index,perpendicular_run_id,processing_status,quality_status,failure_code,failure_message,centre_x_m,centre_y_m,river_angle_deg,cross_section_angle_deg,nearest_pixc_distance_m,observed_pixc_width_m,negative_edge_distance_m,positive_edge_distance_m,n_anchor_candidates,n_negative,n_centre,n_positive,n_candidates_negative,n_candidates_centre,n_candidates_positive,n_nan_height_negative,n_nan_height_centre,n_nan_height_positive,negative_mean_height,centre_mean_height,positive_mean_height,negative_median_height,centre_median_height,positive_median_height,negative_std_height,centre_std_height,positive_std_height,negative_sem_height,centre_sem_height,positive_sem_height,delta_h_centre_minus_negative,delta_h_centre_minus_positive,delta_h_positive_minus_negative,delta_h_centre_minus_negative_median,delta_h_centre_minus_positive_median,delta_h_positive_minus_negative_median,delta_h_centre_minus_negative_sem,delta_h_centre_minus_positive_sem,delta_h_positive_minus_negative_sem,negative_sample_status,centre_sample_status,positive_sample_status,negative_passes_minimum,centre_passes_minimum,positive_passes_minimum,n_shared_negative_centre,n_shared_centre_positive,n_shared_negative_positive,neighbourhoods_overlap
segment_5_run_0,5,0,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,395694.3789556632,5027120.927291073,-31.809389285208553,58.19061071479145,17311.445413325044,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_10_run_1,10,1,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,396066.0574605594,5026905.6312591825,-23.198590512148016,66.80140948785198,16918.006121061735,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_50_run_2,50,2,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,396580.3335980586,5025690.069479628,-2.161079499150452,87.83892050084955,15635.005188323397,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_59_run_3,59,3,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,396980.28249643464,5025713.249229146,-27.121303403148566,62.878696596851434,15416.050184917867,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_70_run_4,70,4,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,397429.9303492751,5025412.698239687,-21.801409481213,68.198590518787,14910.368104026484,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_84_run_5,84,5,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,397749.2955716117,5025164.02896301,-26.565051157929677,63.43494884207033,14523.763010838127,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_142_run_6,142,6,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,398941.52503149665,5023862.798039174,-26.041816587559797,63.958183412440206,12777.80983670055,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_159_run_7,159,7,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,399191.49309298175,5023566.274040105,-29.407189098160167,60.59281090183983,12392.615719878715,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_239_run_8,239,8,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,399461.69432565826,5022146.219724554,-24.623564797971195,65.3764352020288,11071.734662689203,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
segment_249_run_9,249,9,failed,not_evaluated,NO_LOCAL_PIXC,No PIXC points were found within local_search_radius_m=500.0 m of the reach centre.,399698.20634611783,5021915.993737854,-19.983106518099643,70.01689348190035,10746.38789245863,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,not_evaluated,not_evaluated,not_evaluated,False,False,False,0,0,0,False
